序号,产品名称,品牌,色号,适合肤质,妆效描述,遮瑕力,价格（元）
1,草本精华粉底液,红地球,F400瓷亮色,油皮/混油,半哑光到奶油肌，出油后粉底反而跟皮肤融合得更自然，不暗沉，但会轻微卡粉,中,128
2,Fit Me哑光版,美宝莲,112自然白,油皮,雾面确实秒磨皮，控油大概五小时，之后T区会轻微发亮，不卡粉但遮瑕只能六成,中,129
3,烟酰胺粉底液,蜜丝佛陀,30象牙白,中性/混油,上脸两小时开始出奶油光，晚上回家肤色没暗，鼻翼会卡，用美妆蛋压一下还能救,中,149
4,粉膏,毛戈平,M02自然色,中性/油皮,痘印遮八成，哑光感重，夏天三十度持妆七小时，法令纹会有一道粉痕,强,168
5,小金盖,珂莱欧,02暖米色,油皮,游泳后没掉完，遮瑕牛，但粉感厚，近看像刷了层白墙，必须局部上,强,178
6,持久无瑕,雅芳,浅米色,中性/混油,通勤八小时没暗沉，妆面轻薄，就是鼻翼会轻微积粉,中,189
7,玉养粉底液,花西子,N20暖瓷,中性/干皮,奶油光好看，卸妆后脸没变黄，但遮瑕只有五成，明显痘坑的另上遮瑕膏,中,199
8,水光粉底液,兰芝,11C冷瓷,干皮,干皮冬天不起皮，光泽像刚敷完面膜，持久度一般，中午要补一次,低,218
9,AGE 20's精华粉膏,爱敬,21自然色,干皮/混干,挺润，遮瑕偏弱，能均匀肤色，遮不住红痘印，下午会轻微浮粉,低,228
10,熬夜粉底液,玫珂菲,R208瓷白,干皮,持久不暗沉暗沉，奶油肌还在，就是下巴会卡粉,中,288
11,定制无瑕,MAC,N12中性白,中性/混油,出油后变奶油肌，越夜越贴，遮瑕七成，可叠涂,中上,320
12,小方瓶,植村秀,774暖黄一白,中性/混油,口罩戴四小时基本不蹭，但皮肤状态差时会卡毛孔，需做好保湿,中,430
13,恒久无瑕,YSL,B10米调白,油皮,雾面高级，控油六小时，遮瑕九成，粉感明显，近看略厚，需局部少量上,强,470
14,持妆轻透,兰蔻,PO-01粉调白,油皮/混油,带妆十小时没暗沉，毛孔磨皮效果好，鼻翼会轻微卡，用精油按一下可救,中上,450
15,凝脂恒久柔雾,迪奥,1N中性,油皮/混合,出油后妆面更服帖，像抛光，但遮瑕七成，红肿痘需额外遮瑕,中上,520
16,超方瓶,NARS,Light 2.75中性,中性/混油,奶油肌自然，抗氧化优秀，晚上回家没灰脸，就是下巴会积粉痕,中,510
17,DW,DW,1C1冷瓷,油皮,油皮持久，但粉质确实粗，近看颗粒感,强,410
18,权力,阿玛尼,2暖调白,油皮/混油,丝绸雾面高级，越油越美，遮瑕八成,强,580
19,金钻,娇兰,00瓷白,中性/干皮,奶油缎光，卸妆后脸发光，遮瑕七成,中上,730
20,金砖,香奈儿,BD01暖瓷,中性/干皮,轻薄有光泽，像天生好皮，遮瑕五成，大红痘盖不住，适合皮肤底子好,低,1080
21,明星柔光,纪梵希,1象牙白,混油/混干,零粉感，伪素颜神器，但遮瑕只有五成，明显痘印需另遮,中,630
22,白金,雅诗兰黛,1C0冷瓷,干皮/混合,含精华，卸妆后脸不暗，奶油肌好看，鼻翼会卡，秋冬需做好保湿,中,980
23,菁纯,兰蔻,100冷瓷,干皮/中性,精油味治愈，奶油肌贴肤，卸妆后脸软，遮瑕六成，大痘需二次遮瑕,中,950
24,大师,阿玛尼,2暖调白,干皮/混干,奶油肌，脸显年轻，但遮瑕六成，下午会轻微浮,中,660
25,超磨瓶,CT,1N中性,油皮,雾面妆效，遮瑕八成，粉感略重，需局部上,强,520
26,风衣,Burberry,10浅米色,中性,妆效高级，完全不暗沉，轻薄贴肤，遮瑕五成，大红痘盖不住,低,720
27,柔光持妆,香奈儿,B10黄调白,敏感肌,微光质感，透气不闷痘，金盏花抗炎，遮瑕六成，下午会轻微浮粉,中,650
28,小奶瓶,娇韵诗,100.5瓷白,干皮,滋润奶油肌，叠加不厚重，通勤友好，遮瑕四成，明显斑需另遮,低,380
29,虫草,芭比波朗,W-026暖瓷,干皮,光泽养肤，卸后不暗沉，熬夜救星，遮瑕六成，下午会轻微浮,中,620
30,吸油棒,欧莱雅,102自然色,油皮,哑光控油，遮瑕九成，平价DW，粉感重，需快速拍开,强,150
31,矿物质,悦诗风吟,C21自然色,中性,半哑光，轻薄透气，学生党首选，遮瑕四成，只能均匀肤色,低,120
32,小奶砖,3CE,001象牙白,混油,奶油砖肌理，遮瑕八成，韩系哑光，粉感明显，需局部上,中上,230
33,零感,Rom&nd,01浅米色,中性,0粉感裸妆，毛孔隐形，韩系水光，遮瑕三成，只能提亮,低,160
34,墨水,Peripera,01冷瓷,油皮,墨水级持妆，越夜越美，韩系雾面，遮瑕九成，粉感厚,强,180
35,双倍,爱丽小屋,21自然色,中性,双倍遮瑕，奶油肌，学生党爱用，粉感中等，下午会轻微浮,中,140
36,小夜猫,卡姿兰,01瓷白,油皮,夜猫持妆，12h不暗沉，国货之光，遮瑕八成，鼻翼会卡,中上,190
37,小金盖,完美日记,P01粉调,混油,奶油肌，国货平价，色号全，遮瑕六成，下午会轻微浮粉,中,160
38,独角兽,花知晓,W01暖瓷,干皮,奶油光泽，包装梦幻，少女必备，遮瑕四成，只能均匀肤色,低,170
39,小奶盖,橘朵,01瓷白,中性,奶盖质地，轻薄贴肤，国货黑马，遮瑕四成，下午会轻微浮,低,150
40,小精灵,稚优泉,01瓷白,油皮,精灵持妆，控油6h，学生党友好，遮瑕六成，鼻翼会卡,中,130
41,琥珀,酵色,A01中性,混干,琥珀光泽，养肤不暗沉，包装高级，遮瑕六成，下午会轻微浮,中,220
42,益生菌,瑷尔博士,01瓷白,敏感肌,益生菌养肤，维稳不闷痘，医美后可用，遮瑕三成，只能提亮,低,200
43,山茶花,溪木源,01瓷白,干皮,山茶花修护，干敏肌救星，卸后软嫩，遮瑕三成，只能均匀肤色,低,180
44,舒缓,薇诺娜,01瓷白,敏感肌,医美术后可用，舒缓不刺激，遮瑕六成，下午会轻微浮粉,中,190
45,UVMune,理肤泉,01瓷白,敏感肌,高防晒+遮瑕，痘肌安心，哑光持妆，遮瑕七成，粉感略重,中,210
46,矿物粉底,贝茗,Fair 01中性,敏感肌,100%矿物，无防腐剂，刷酸期可用，遮瑕四成，只能均匀肤色,低,240
47,Can't Stop,NYX,01瓷白,油皮,24h持妆，高遮瑕，欧美开架之王，粉感厚，需快速拍开,强,160
48, Girl Pro,L.A. Girl,GLM641自然色,混油,高遮瑕，拍照无滤镜，欧美网红，粉感重，近看颗粒感,强,120
49,ColorStay,Revlon,110象牙白,混油,16h持妆，油皮/干皮双版本，经典老牌，遮瑕七成，鼻翼会卡,中,180
50,Beauty Pro,Fenty,150中性,全肤质,50色可选，哑光高遮瑕，粉感明显，需局部上,强,380
```,,,,,,,
